Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	IP #1(mV/V)	IP #2(mV/V)	IP #3(mV/V)	IP #4(mV/V)	IP #5(mV/V)	IP #6(mV/V)	IP #7(mV/V)	IP #8(mV/V)	IP #9(mV/V)	IP #10(mV/V)	IP #11(mV/V)	IP #12(mV/V)	IP #13(mV/V)	IP #14(mV/V)	IP dV #1(mV)	IP dV #2(mV)	IP dV #3(mV)	IP dV #4(mV)	IP dV #5(mV)	IP dV #6(mV)	IP dV #7(mV)	IP dV #8(mV)	IP dV #9(mV)	IP dV #10(mV)	IP dV #11(mV)	IP dV #12(mV)	IP dV #13(mV)	IP dV #14(mV)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2021-05-07 16:11:53	132	1	3	14.8745	0	3.5275	40	19.2247	0	5.1148	49	16.3148	0	4.4181	43	17.6212	0	4.8467	46	14.8745	0	3.5275	0	343.944	544.064	4.43386	0	12.8912	0.03905019999999999	121.49700000000001	1	0	33.163501311382696	27.1885404574712	22.5395209740137	19.0489105587643	16.2294376381846	14.0052051064677	12.0128851365518	10.160066517560901	8.47918445033752	6.97481892557582	5.6226305577677	4.375096245439471	3.2687115604310297	2.3807430158092595	147.042281119382	120.550148539382	99.93705273271549	84.4601791318822	71.9590343973822	62.097101481048796	53.2634361106322	45.04830002838221	37.595506333997506	30.9253620593822	24.929949806655003	19.3985588555891	14.493005417437802	10.555878298757198	13.6568	12.1059	44.4052	0	33.1821	-87.6807
2021-05-07 16:11:53	132	2	2	14.8745	0	3.5275	40	19.2247	0	5.1148	49	15.6378	0	3.9664	42	18.2304	0	5.0354	47	14.8745	0	3.5275	0	343.944	544.064	14.7663	0	42.9322	0.222377	188.826	1	0	33.8964847239743	27.1059731461549	21.804042470152503	17.7429749037505	14.5646934330215	12.027208562739801	9.84126435602084	7.92506201960847	6.26150193431836	4.79347118720076	3.5337425057447005	2.4750035886153303	1.62678075544891	0.9534809558022009	500.524679647529	400.25414540752996	321.964400180863	261.997575914197	215.066210378196	177.597021105307	145.31877654086202	117.02361353552901	92.4590344782991	70.7816946185094	52.1801995117723	36.5465737348862	24.021485505307602	14.0793581941957	13.6568	12.1059	44.4052	0	33.1821	-87.6807
2021-05-07 16:11:18	131	3	4	13.3797	0	2.9699	37	22.1435	0	5.0484	55	17.0791	0	4.7575	45	18.2304	0	5.0354	47	13.3797	0	2.9699	0	495.94300000000004	451.389	0.745938	0	1.5040799999999999	0.39114899999999997	94.5042	1	0	21.444073098574602	16.608937834417	12.920672241893598	10.5361978217198	8.95816699988322	7.231804445445389	6.17074203637784	5.229104529730059	4.4830716924978	3.91335097504148	3.31160689386858	2.87881863381911	2.61365877975619	2.2276315865922403	15.9959462107977	12.3892357107978	9.63801873079869	7.85934896079777	6.682236010797791	5.3944768041311	4.6029901707978	3.9005870947977996	3.34409294925932	2.9191166907977597	2.47025299261594	2.14741983976326	1.94962706301996	1.66167476079775	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:11:18	131	4	2	13.3797	0	2.9699	37	22.1435	0	5.0484	55	15.267999999999999	0	3.8058	41	20.1961	0	5.0934	51	13.3797	0	2.9699	0	495.94300000000004	451.389	7.09393	0	14.3039	0.14676199999999998	125.824	1	0	30.4054495525357	24.7435224520473	20.3821513655654	17.0353883001405	14.4584629144629	12.3701609345388	10.5208000727322	8.90375739996202	7.44901405452896	6.1279663338341495	4.9605928413343605	3.8913921192508103	3.0008938269299503	2.25981174717176	215.694274757738	175.52893342440498	144.589651575516	120.84793281107201	102.567392304405	87.7531143488496	74.6338690910718	63.162673904405096	52.842819553635906	43.4713932393071	35.19012187046621	27.6052817278534	21.288144959220002	16.030957051071802	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:11:18	131	5	1	13.3797	0	2.9699	37	22.1435	0	5.0484	55	14.3504	0	3.3299	39	21.2089	0	5.0618	53	13.3797	0	2.9699	0	495.94300000000004	451.389	19.3336	0	38.9836	0.13663	139.966	1	0	25.8307009170284	20.606382703471397	16.607702681183902	13.6283246599676	11.3482047972064	9.52745984371993	7.98002130419714	6.628480781397849	5.45771878036152	4.428469388233401	3.5302439328140895	2.77285572795451	2.14088598293066	1.61495162023312	499.400893556856	398.39592305852204	321.0869726513	263.484817339356	219.40185185819098	184.200265202411	154.282680238522	128.15251261619102	105.517447801727	85.6183336517593	68.2523861889786	53.6093322706487	41.3910708932445	31.2228570485223	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:10:44	130	6	4	12.9138	0	2.7292	36	21.7121	0	5.0497	54	16.7441	0	4.5531	44	17.6212	0	4.8467	46	12.9138	0	2.7292	0	438.324	516.442	0.6606989999999999	0	1.5073299999999998	0.411833	94.7083	1	0	27.4178500453488	21.283018031786	17.2200801633788	14.1557777145117	12.1339352888757	10.3230900059586	8.54769844971732	7.08029391731986	5.588989981361999	4.54352185608299	3.2160669343360198	2.10471924624506	1.21086294148444	0.394221787622981	18.114934949601	14.061660069600999	11.3772827362677	9.35270241960102	8.016873973601019	6.82045104293435	5.64745233960102	4.6779402296010195	3.6926378172937704	3.00189849783631	2.1248508986919297	1.39058504477343	0.800015441823242	0.26046178043479395	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:10:44	130	7	3	12.9138	0	2.7292	36	21.7121	0	5.0497	54	15.6378	0	3.9664	42	18.6635	0	5.0846	48	12.9138	0	2.7292	0	438.324	516.442	2.9478	0	6.725169999999999	0.0243116	126.766	1	0	32.5012299004393	26.527570694816898	21.743310074211397	18.1383794558941	15.3166265005665	12.957641185695099	10.954926771570301	9.2267215555071	7.63221649174962	6.2255400279067805	4.93258192290187	3.7694833588735897	2.8589099816267596	2.18759954186471	95.8071233441596	78.19797113415959	64.0949279941596	53.468313756659605	45.150350582159604	38.1965338274929	32.292932410409605	27.198529189159604	22.4982472680058	18.3516464812184	14.540264665068701	11.111682795194099	8.42749465415961	6.4486057843683895	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:10:44	130	8	1	12.9138	0	2.7292	36	21.7121	0	5.0497	54	13.9401	0	3.1681	38	20.7093	0	5.0802	52	12.9138	0	2.7292	0	438.324	516.442	16.1462	0	36.8361	0.229213	132.256	1	0	24.7793107083045	19.5991774315616	15.708917520856199	12.839164497123999	10.6474019449675	8.9320550775355	7.4724548784347995	6.22359849084818	5.08103900256658	4.10215063247141	3.23602032230056	2.49747796832742	1.88710282304804	1.41690039472417	400.09050016257993	316.45128444758	253.638559277025	207.303092720914	171.91456290858002	144.218312830358	120.651387157164	100.487162953247	82.0392245697598	66.2339448263059	52.2492737803076	40.3246571809711	30.469447726747198	22.877488170636102	13.6568	12.1148	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:09:51	129	9	4	12.9138	0	2.7292	36	17.0791	0	4.7575	45	14.8745	0	3.5275	40	15.267999999999999	0	3.8058	41	12.9138	0	2.7292	0	238.442	382.431	1.0913899999999999	0	4.57718	0.00343949	143.796	2	0	14.0936797356743	10.2524536321528	7.487762089876861	5.66143851037902	4.39285500371116	3.37727874850528	2.6738697066144503	1.9474406231585202	1.4721700572121499	1.07147578529428	0.7670897475549909	0.416476270320757	0.12077200053208699	0.0953430944385609	15.3817257199615	11.1894432599615	8.1720817332948	6.178847254961459	4.79432568796147	3.68593414662813	2.91823932496146	2.12542061996146	1.60671424765378	1.16939982702029	0.8371954181432819	0.454538763409747	0.13180956440590802	0.104056666211463	13.6568	12.1236	44.2753	0	33.181999999999995	-87.6807
2021-05-07 16:09:51	129	10	3	12.9138	0	2.7292	36	17.0791	0	4.7575	45	14.3504	0	3.3299	39	15.6378	0	3.9664	42	12.9138	0	2.7292	0	238.442	382.431	3.30005	0	13.84	0.0543392	130.439	2	0	18.266461999100898	14.3798274028635	11.6964867084587	9.84545106967092	8.49168250381981	7.482123811038611	6.61175346624038	5.81112079806942	5.093054623401059	4.3953193696476	3.73183136903867	3.1488152314369398	2.5873503710343195	2.10220232164423	60.28023019216621	47.4541433371662	38.5989860138328	32.490476637166196	28.0229732541662	24.6913795171662	21.8191142290412	19.1769867311662	16.8073327552431	14.504771826283902	12.315228530575302	10.3912463723386	8.53838449730508	6.937371882166199	13.6568	12.1236	44.2753	0	33.181999999999995	-87.6807
