6,7,2,3
8,9,6,7
20,21,22,23
27,28,31,32
42,43,44,45
42,43,38,39
65,66,67,68
66,67,68,69
68,69,66,67
68,69,64,65
71,72,75,76
72,73,68,69
75,76,71,72
77,78,79,80
87,88,89,90
89,90,93,94
89,90,85,86
102,103,104,105
104,105,106,107
113,114,115,116
23,25,31,33
25,27,21,23
29,31,25,27
29,31,37,39
29,31,21,23
31,33,39,41
37,39,29,31
67,69,75,77
67,69,71,73
71,73,79,81
71,73,67,69
83,85,87,89
83,85,91,93
85,87,93,95
89,91,93,95
27,36,31,32
63,72,65,70
64,73,67,70
65,74,69,70
70,79,74,75
23,41,31,33
23,41,31,33
24,42,32,34
44,62,52,54
54,72,56,70
60,78,68,70
75,93,83,85
75,93,83,85
76,94,84,86
19,46,31,34
12,48,28,32
67,103,83,87
27,72,47,52
